line,name,city_and_gu,dong
1호선,서울역,서울특별시 중구,남대문로5가
1호선,시청,서울특별시 중구,정동
1호선,종각,서울특별시 종로구,종로1가
1호선,종로3가,서울특별시 종로구,종로3가
1호선,종로5가,서울특별시 종로구,종로5가
1호선,동대문,서울특별시 종로구,창신동
1호선,신설동,서울특별시 동대문구,신설동
1호선,제기동,서울특별시 동대문구,제기동
1호선,청량리,서울특별시 동대문구,전농동
1호선,동묘앞,서울특별시 종로구,숭인동
2호선,시청,서울특별시 중구,서소문동
2호선,을지로입구,서울특별시 중구,을지로1가
2호선,을지로3가,서울특별시 중구,을지로3가
2호선,을지로4가,서울특별시 중구,을지로4가
2호선,동대문역사문화공원,서울특별시 중구,을지로
2호선,신당,서울특별시 중구,신당동
2호선,상왕십리,서울특별시 성동구,하왕십리동
2호선,왕십리,서울특별시 성동구,행당동
2호선,한양대,서울특별시 성동구,행당동
2호선,뚝섬,서울특별시 성동구,성수동1가
2호선,성수,서울특별시 성동구,성수동2가
2호선,건대입구,서울특별시 광진구,화양동
2호선,구의,서울특별시 광진구,구의동
2호선,강변,서울특별시 광진구,구의동
2호선,잠실나루,서울특별시 송파구,신천동
2호선,잠실,서울특별시 송파구,신천동
2호선,잠실새내,서울특별시 송파구,잠실동
2호선,종합운동장,서울특별시 송파구,잠실동
2호선,삼성,서울특별시 강남구,삼성동
2호선,선릉,서울특별시 강남구,삼성동
2호선,역삼,서울특별시 강남구,역삼동
2호선,강남,서울특별시 강남구,역삼동
2호선,교대,서울특별시 서초구,서초동
2호선,서초,서울특별시 서초구,서초동
2호선,방배,서울특별시 서초구,방배동
2호선,사당,서울특별시 동작구,사당동
2호선,낙성대,서울특별시 관악구,봉천동
2호선,서울대입구,서울특별시 관악구,봉천동
2호선,봉천,서울툭별시 관악구,봉천동
2호선,신림,서울특별시 관악구,신림동
2호선,신대방,서울특별시 동작구,신대방동
2호선,구로디지털단지,서울특별시 구로구,구로동
2호선,대림,서울특별시 구로구,구로동
2호선,신도림,서울특별시 구로구,신도림동
